year,locality_id,id,ALAN_median,ALAN_sd
2016,L4159438,22872,8.945994107,3.922075927
2016,L4190092,25487,0.883687359,0.695383285
2016,L4837783,25442,4.615804523,2.763031517
2016,L930908,25366,0.232380216,0.122802988
2016,L4042664,25616,0.106006838,0.006646866
2016,L2553086,25657,0.113681519,0.005198919
2016,L2559636,25536,0.208789097,0.017393805
2016,L4851812,25660,0.209869793,0.137625388
2016,L4814189,25661,0.117576301,0.037301869
2016,L2539300,25675,0.107299316,0.006867502
2016,L2553592,25479,0.157892142,0.006252932
2016,L3280956,25690,8.327482674,5.801348658
2016,L1296722,25497,0.107986231,0.004267999
2016,L5191634,25695,1.614141144,0.567936528
2016,L2553319,25551,0.463714226,0.120178615
2016,L7364843,25707,0.168425583,0.005889409
2016,L3155417,25712,0.157194714,0.023779384
2016,L1669706,25559,0.110282439,0.013942608
2016,L4690011,25731,0.127053666,0.007913541
2016,L4752646,25737,0.20007426,0.011028418
2016,L4878009,25745,0.147369813,0.066928988
2016,L4916491,25751,1.188044198,0.72780678
2016,L2540903,25756,0.106933382,0.006620529
2016,L7743364,25844,0.945817635,0.974479818
2016,L7472896,25890,0.222616174,0.087807839
2016,L4156984,26007,0.109257171,0.005378225
2016,L941999,24975,0.106937984,0.003710752
2016,L4440966,26014,0.26285449,0.175829239
2016,L2558937,25026,0.171801987,0.06568766
2016,L3763736,26034,0.132506771,0.015295138
2016,L4911518,26043,0.131624207,0.00657204
2016,L5279832,25186,0.137043254,0.00971632
2016,L4940866,26118,0.152434545,0.016123776
2016,L3011987,25153,0.129077984,0.011056542
2016,L2322452,25048,0.112833357,0.004423839
2016,L1362515,25096,0.15922627,0.069520758
2016,L4816660,26167,0.968187162,0.963972874
2016,L984159,25161,0.158490114,0.102164593
2016,L5176100,26185,4.174395716,4.02579815
2016,L5168248,26193,0.119213849,0.004459585
2016,L2539372,25892,0.10615246,0.009322988
2016,L4063727,26405,4.834293789,4.026601273
2016,L6200709,25736,1.906646731,1.474951258
2016,L4496023,26411,3.706704761,3.398399004
2016,L4841968,26420,0.169954395,0.00719477
2016,L3608784,25638,0.178026144,0.022702169
2016,L4941077,26427,0.211955661,0.016817265
2016,L5082142,26142,0.129460111,0.001876054
2016,L5050519,26429,0.114871466,0.002818321
2016,L2540752,25677,0.119488533,0.004117821
2016,L1337398,25160,1.49697903,1.222249166
2016,L4732632,26437,0.101759405,0.005708003
2016,L2537439,26444,0.257164931,0.041084385
